seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,zone_index,cp_km,cp_type,zone_source,zone_start_km_a,zone_end_km_a,zone_start_km_b,zone_end_km_b,width_m,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,has_convergence
E1a,Friel to Hughes,10k,half,618,912,merge,4,6.21,true_pass,true_pass,6.16,6.26,3.06,3.16,3.0,87,545,14.1,59.8,510,912,37996,1422,True
E1a,Friel to Hughes,10k,half,618,912,merge,5,6.31,true_pass,true_pass,6.26,6.36,3.16,3.26,3.0,85,503,13.8,55.2,509,912,37417,1421,True
E1a,Friel to Hughes,10k,half,618,912,merge,6,6.42,true_pass,true_pass,6.37,6.43,3.27,3.33,3.0,61,231,9.9,25.3,492,908,21820,1400,True
E1b,Friel to Hughes,10k,full,618,368,merge,0,5.8,true_pass,true_pass,5.8,5.85,16.35,16.4,3.0,0,107,0.0,29.1,59,57,464,236,True
E1b,Friel to Hughes,10k,full,618,368,merge,1,5.91,true_pass,true_pass,5.86,5.96,16.41,16.51,3.0,0,129,0.0,35.1,121,149,1050,305,True
E1b,Friel to Hughes,10k,full,618,368,merge,2,6.01,true_pass,true_pass,5.96,6.06,16.51,16.61,3.0,0,76,0.0,20.7,121,137,1020,282,True
E1b,Friel to Hughes,10k,full,618,368,merge,3,6.11,true_pass,true_pass,6.06,6.16,16.61,16.71,3.0,0,0,0.0,0.0,108,99,1065,207,True
E1b,Friel to Hughes,10k,full,618,368,merge,4,6.21,true_pass,true_pass,6.16,6.26,16.71,16.81,3.0,0,0,0.0,0.0,1,3,1192,4,True
E1b,Friel to Hughes,10k,full,618,368,merge,5,6.31,true_pass,true_pass,6.26,6.36,16.81,16.91,3.0,0,0,0.0,0.0,1,3,1283,4,True
E1b,Friel to Hughes,10k,full,618,368,merge,6,6.42,true_pass,true_pass,6.37,6.43,16.92,16.98,3.0,0,0,0.0,0.0,0,0,734,0,True
E2a,Hughes to Neil,10k,half,618,912,merge,0,6.43,true_pass,true_pass,6.43,6.48,3.33,3.38,3.0,73,534,11.8,58.6,484,904,16639,1413,True
E2a,Hughes to Neil,10k,half,618,912,merge,1,6.53,true_pass,true_pass,6.48,6.58,3.38,3.48,3.0,73,534,11.8,58.6,529,912,38973,1449,True
E2a,Hughes to Neil,10k,half,618,912,merge,2,6.63,true_pass,true_pass,6.58,6.68,3.48,3.58,3.0,73,534,11.8,58.6,536,912,38420,1452,True
E2a,Hughes to Neil,10k,half,618,912,merge,3,6.74,true_pass,true_pass,6.69,6.79,3.59,3.69,3.0,72,534,11.7,58.6,536,912,37977,1451,True
