bin_id,segment_id,start_km,end_km,t_start,t_end,density,rate,los_class,bin_size_km,schema_version,analysis_hash
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:32:00Z,2025-10-15T07:34:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:34:00Z,2025-10-15T07:36:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:34:00Z,2025-10-15T07:36:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:34:00Z,2025-10-15T07:36:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:34:00Z,2025-10-15T07:36:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:34:00Z,2025-10-15T07:36:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:36:00Z,2025-10-15T07:38:00Z,0.0020,0.0265,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:36:00Z,2025-10-15T07:38:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:36:00Z,2025-10-15T07:38:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:36:00Z,2025-10-15T07:38:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:36:00Z,2025-10-15T07:38:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:38:00Z,2025-10-15T07:40:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:38:00Z,2025-10-15T07:40:00Z,0.0010,0.0133,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:38:00Z,2025-10-15T07:40:00Z,0.0010,0.0133,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:38:00Z,2025-10-15T07:40:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:38:00Z,2025-10-15T07:40:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:40:00Z,2025-10-15T07:42:00Z,0.7490,11.3069,D,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:40:00Z,2025-10-15T07:42:00Z,0.2150,3.8417,B,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:40:00Z,2025-10-15T07:42:00Z,0.0010,0.0233,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:40:00Z,2025-10-15T07:42:00Z,0.0010,0.0133,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:40:00Z,2025-10-15T07:42:00Z,0.0010,0.0133,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:42:00Z,2025-10-15T07:44:00Z,0.3370,3.9672,B,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:42:00Z,2025-10-15T07:44:00Z,0.7550,10.1887,D,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:42:00Z,2025-10-15T07:44:00Z,0.5110,8.1760,C,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:42:00Z,2025-10-15T07:44:00Z,0.1860,3.3218,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:42:00Z,2025-10-15T07:44:00Z,0.0290,0.5948,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:44:00Z,2025-10-15T07:46:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:44:00Z,2025-10-15T07:46:00Z,0.1400,1.4577,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:44:00Z,2025-10-15T07:46:00Z,0.5100,6.3177,C,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:44:00Z,2025-10-15T07:46:00Z,0.5470,7.8549,C,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:44:00Z,2025-10-15T07:46:00Z,0.2340,3.6934,B,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:46:00Z,2025-10-15T07:48:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:46:00Z,2025-10-15T07:48:00Z,0.0010,0.0066,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:46:00Z,2025-10-15T07:48:00Z,0.0550,0.5160,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:46:00Z,2025-10-15T07:48:00Z,0.3360,3.8496,B,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:46:00Z,2025-10-15T07:48:00Z,0.2000,2.5508,B,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:48:00Z,2025-10-15T07:50:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:48:00Z,2025-10-15T07:50:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:48:00Z,2025-10-15T07:50:00Z,0.0010,0.0066,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:48:00Z,2025-10-15T07:50:00Z,0.0320,0.2819,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:48:00Z,2025-10-15T07:50:00Z,0.0720,0.7361,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:50:00Z,2025-10-15T07:52:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:50:00Z,2025-10-15T07:52:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:50:00Z,2025-10-15T07:52:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:50:00Z,2025-10-15T07:52:00Z,0.0040,0.0285,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:50:00Z,2025-10-15T07:52:00Z,0.0070,0.0573,A,0.2000,1.0.0,
