loc_id,loc_label,loc_type,loc_direction,lat,lon,proxy_loc_id,seg_id,day,zone,full,half,10k,elite,open,buffer,interval,fpf_count,awp_count,yssr_count,vol_count,caf_count,sja_count,fdsa_count,ofc_count,notes
60,Half Turn (Penniac Bridge),course,Runners crossing Bridge St. both ways,45.99598,-66.5744,,"""J1,J4,J5""",sun,4,y,y,n,n,n,10,5,0,0,0,0,0,0,0,1,Half Turn before Penniac Bridge; Full continue to Tree Farm for their Full Turn
61,Full Turn (Chase Tree Farm),course,Runners crossing Bridge St. both ways,,,,"""J2,J3""",sun,4,y,y,n,n,n,10,5,0,0,0,0,0,0,0,1,Full Turn at Tree Farm.
62,Canada Street and Miller Street,course,Traffic control both directions as runners cross street from trail.,45.975221,-66.592053,,K1,sun,6,y,y,n,n,n,10,5,0,1,2,0,0,0,0,0,1 TCP Truck Required. Runners cross Canada Street from trail heading to Kaine Street (southerly direction) coming up the trail from Bridge Street.
63,Kaine Street at trail,course,Traffic control both directions,45.973112,-66.592822,,K1,sun,6,y,y,n,n,n,10,5,0,0,2,0,0,0,0,0,Traffic control both directions as runners cross Kaine at trail.
64,Canada Street and Murray Avenue,course,Traffic control both directions,45.966065,-66.603455,,K1,sun,6,y,y,n,n,n,10,5,1,1,2,0,0,0,0,0,Stop traffic from crossing the trail while runners are there. Full and Half runners heading southbound to Queen Sq.
65,Northside of Walking Bridge at Picaroons,course,Runners on trail both directions,45.957934,-66.624561,,"""L1,L2""",sun,6,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,Stop any bike or foot traffic coming from Picaroons Roundhouse. Remind event in progress and mindful or traffic on Walking Bridge (remains open).
66,Northside Trail meets sidewalk from Union St Cross-walk,course,Runners on trail both directions,45.974361,-66.640142,,"""B1,B2,B3""",sun,2,y,n,y,n,n,10,5,0,0,0,1,0,0,0,0,Stop non-participant foot & cycle traffic when runners are approaching. Expecting low traffic at this point.
67,Northside Trail at Friel St.,course,Traffic control both directions as runners cross street from trail.,45.97375,-66.638189,,"""B1,B2,B3,F1""",sun,2,y,y,y,n,n,10,5,0,0,0,1,0,0,0,0,Stop traffic from crossing the trail while runners are coming from both directions.
68,Northside Trail and Douglas Ave,course,Traffic control both directions,45.974816,-66.641483,,"""B1,B2,B3""",sun,2,y,n,y,n,n,10,5,0,0,1,0,0,0,0,0,Stop traffic from crossing the trail while runners are coming from both directions.
69,Northside Trail and Lynn Ave.,course,Runners on trail both directions,45.975435,-66.643328,,"""B1,B2,B3""",sun,2,y,n,y,n,n,10,5,0,0,0,0,0,0,0,0,Gate that prevents vehicle traffic entering trail. Watch for bikers and walkers from Preston Dr.
70,Northside Trail at Wallace,course,Traffic control both directions,45.976546,-66.646654,,"""B1,B2,B3""",sun,2,y,n,y,n,n,10,5,0,1,1,0,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
71,Northside Trail at Fulton,course,Traffic control both directions,45.978656,-66.652984,,"""B1,B2,B3""",sun,2,y,n,y,n,n,10,5,0,1,1,0,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
72,Northside Trail at 10K Turn,course,Runners crossing both ways,45.980158,-66.656539,,"""B1,B2,B3""",sun,2,y,n,y,n,n,10,5,0,0,0,0,0,0,0,2,10K Turn; Full continue to Blake Court.
73,Northside Trail at Brookside,course,Traffic control both directions,45.980729,-66.657799,,"""D1,D2""",sun,2,y,n,n,n,n,10,5,1,0,1,0,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
74,Northside Trail at Main (near Royal Rd.),course,Traffic control both directions,45.985086,-66.664253,,"""D1,D2""",sun,2,y,n,n,n,n,10,5,1,0,1,0,0,0,0,0,Stop traffic from crossing the trail while runners are crossing. *Note: there is a fire station on Royal Road at Hawkins St. Be aware of Emergency Response Vehicles.*
75,Northside Trail at Manresa Dr.,course,Traffic control both directions,45.984623,-66.668401,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
76,Northside Trail at Bailey Ave.,course,Traffic control both directions,45.983519,-66.672653,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
77,Northside Trail at McAdam Ave.,course,Traffic control both directions,45.982789,-66.675723,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
78,Northside Trail at Srawberry Fields (Ferris),course,Runners on trail both directions,45.979889,-66.687236,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,0,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
79,Northside Trail at Sunset Dr. (Claremont Dr.),course,Traffic control both directions,45.97874,-66.692177,,"""D1,D2""",sun,2,y,n,n,n,n,10,5,1,0,2,0,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
80,Northside Trail at Ruby St,course,Traffic control both directions,45.978451,-66.701054,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
81,Northside Trail at Jassper St,course,Traffic control both directions,45.978144,-66.705244,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
82,Northside Trail at Grasse Cir,course,Traffic control both directions,45.977954,-66.708235,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
83,Northside Trail at Pearl (across Spencer),course,Traffic control both directions,45.977615,-66.714907,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
