event,runner_id,pace,distance,start_offset,day
Open,3414,8.43,5,63,sat
Open,3415,8.58,5,25,sat
Open,3416,8.62,5,25,sat
Open,3417,8.53,5,51,sat
Open,3418,8.67,5,28,sat
Open,3419,8.57,5,60,sat
Open,3420,8.57,5,61,sat
Open,3421,8.17,5,183,sat
Open,3422,8.65,5,45,sat
Open,3423,8.72,5,32,sat
Open,3424,8.72,5,31,sat
Open,3425,8.78,5,18,sat
Open,3426,8.68,5,55,sat
Open,3427,8.67,5,65,sat
Open,3428,8.77,5,48,sat
Open,3429,8.73,5,66,sat
Open,3430,8.78,5,56,sat
Open,3431,8.9,5,43,sat
Open,3432,9.17,5,11,sat
Open,3433,9.0,5,61,sat
Open,3434,9.0,5,60,sat
Open,3435,9.07,5,42,sat
Open,3436,9.02,5,64,sat
Open,3437,9.17,5,30,sat
Open,3438,9.17,5,31,sat
Open,3439,9.2,5,34,sat
Open,3440,9.32,5,28,sat
Open,3441,9.3,5,29,sat
Open,3442,9.35,5,20,sat
Open,3443,9.5,5,13,sat
Open,3444,9.52,5,13,sat
Open,3445,9.47,5,28,sat
Open,3446,9.47,5,27,sat
Open,3447,9.48,5,24,sat
Open,3448,9.55,5,22,sat
Open,3449,9.58,5,30,sat
Open,3450,9.53,5,57,sat
Open,3451,9.68,5,12,sat
Open,3452,9.7,5,12,sat
Open,3453,9.67,5,32,sat
Open,3454,9.85,5,36,sat
Open,3455,9.85,5,36,sat
Open,3456,9.87,5,32,sat
Open,3457,9.9,5,40,sat
Open,3458,9.85,5,56,sat
Open,3459,9.87,5,63,sat
Open,3460,10.1,5,7,sat
Open,3461,10.1,5,64,sat
Open,3462,10.17,5,54,sat
Open,3463,10.17,5,54,sat
Open,3464,10.28,5,44,sat
Open,3465,10.3,5,43,sat
Open,3466,10.3,5,44,sat
Open,3467,10.48,5,9,sat
Open,3468,10.4,5,60,sat
Open,3469,10.4,5,60,sat
Open,3470,10.83,5,17,sat
Open,3471,10.85,5,16,sat
Open,3472,10.85,5,16,sat
Open,3473,10.77,5,64,sat
Open,3474,10.78,5,57,sat
Open,3475,10.78,5,56,sat
Open,3476,10.92,5,33,sat
Open,3477,10.92,5,36,sat
Open,3478,10.92,5,34,sat
Open,3479,10.92,5,35,sat
Open,3480,10.92,5,56,sat
Open,3481,11.08,5,64,sat
Open,3482,11.08,5,64,sat
Open,3483,11.4,5,0,sat
Open,3484,11.4,5,0,sat
Open,3485,11.23,5,52,sat
Open,3486,11.23,5,52,sat
