event,runner_id,pace,distance,start_offset
Full,2856,6.766666667,42.2,49
Full,2857,6.883333333,42.2,41
Full,2858,6.866666667,42.2,104
Full,2859,6.916666667,42.2,94
Full,2860,6.95,42.2,97
Full,2861,7,42.2,96
Full,2862,7.016666667,42.2,102
Full,2863,7.033333333,42.2,124
Full,2864,7.133333333,42.2,50
Full,2865,7.166666667,42.2,85
Full,2866,7.183333333,42.2,64
Full,2867,7.216666667,42.2,95
Full,2868,7.266666667,42.2,52
Full,2869,7.266666667,42.2,47
Full,2870,7.333333333,42.2,113
Full,2871,7.4,42.2,116
Full,2872,7.416666667,42.2,89
Full,2873,7.466666667,42.2,89
Full,2874,7.466666667,42.2,116
Full,2875,7.583333333,42.2,40
Full,2876,7.583333333,42.2,48
Full,2877,7.6,42.2,101
Full,2878,7.6,42.2,113
Full,2879,7.65,42.2,90
Full,2880,7.666666667,42.2,75
Full,2881,7.666666667,42.2,99
Full,2882,7.683333333,42.2,98
Full,2883,7.716666667,42.2,83
Full,2884,7.716666667,42.2,122
Full,2885,7.75,42.2,89
Full,2886,7.883333333,42.2,41
Full,2887,7.883333333,42.2,55
Full,2888,7.866666667,42.2,103
Full,2889,7.883333333,42.2,85
Full,2890,7.883333333,42.2,84
Full,2891,7.9,42.2,87
Full,2892,8,42.2,76
Full,2893,7.983333333,42.2,117
Full,2894,8.2,42.2,86
Full,2895,8.2,42.2,98
Full,2896,8.316666667,42.2,50
Full,2897,8.516666667,42.2,107
